UTC,Year,Month,Day,h,Min,S21 Res<1.3,S22 Res>=1.3,gas ,COP,electrische eff,opbrengst,,,
01/01/2021 00:00,2021,1,1,1,0,2.90E-05,6.86E-05,2.79E-05,4.00E+00,1.00E+00,2.86303E-05,,,243.6153436
01/01/2021 00:15,2021,1,1,1,15,2.79E-05,5.86E-05,2.79E-05,4.00E+00,1.00E+00,3.69461E-05,,,
01/01/2021 00:30,2021,1,1,1,30,2.68E-05,5.60E-05,2.79E-05,4.00E+00,1.00E+00,0,,,
01/01/2021 00:45,2021,1,1,1,45,2.71E-05,0.000052554,2.79E-05,4.00E+00,1.00E+00,0,,,
01/01/2021 01:00,2021,1,1,2,0,2.61E-05,5.13E-05,2.79E-05,4.00E+00,1.00E+00,0,,,
01/01/2021 01:15,2021,1,1,2,15,2.52E-05,4.90E-05,2.79E-05,4.00E+00,1.00E+00,0,,,
01/01/2021 01:30,2021,1,1,2,30,2.49E-05,4.73E-05,2.79E-05,4.00E+00,1.00E+00,0,,,
01/01/2021 01:45,2021,1,1,2,45,2.37E-05,4.66E-05,2.79E-05,4.00E+00,1.00E+00,0,,,
01/01/2021 02:00,2021,1,1,3,0,2.25E-05,4.45E-05,2.91E-05,4.00E+00,1.00E+00,0,,,
01/01/2021 02:15,2021,1,1,3,15,2.20E-05,4.34E-05,2.91E-05,4.00E+00,1.00E+00,3.10319E-05,,,
01/01/2021 02:30,2021,1,1,3,30,2.07E-05,4.24E-05,2.91E-05,4.00E+00,1.00E+00,3.30802E-05,,,
01/01/2021 02:45,2021,1,1,3,45,1.94E-05,4.31E-05,2.91E-05,4.00E+00,1.00E+00,3.24722E-05,,,
01/01/2021 03:00,2021,1,1,4,0,1.92E-05,4.17E-05,3.24E-05,4.00E+00,1.00E+00,0,,,
01/01/2021 03:15,2021,1,1,4,15,1.91E-05,3.96E-05,3.24E-05,4.00E+00,1.00E+00,1.43101E-05,,,
01/01/2021 03:30,2021,1,1,4,30,1.91E-05,3.85E-05,3.24E-05,4.00E+00,1.00E+00,0,,,
01/01/2021 03:45,2021,1,1,4,45,1.86E-05,3.86E-05,3.24E-05,4.00E+00,1.00E+00,0,,,
01/01/2021 04:00,2021,1,1,5,0,1.80E-05,4.01E-05,3.81E-05,4.00E+00,1.00E+00,1.2676E-05,,,
01/01/2021 04:15,2021,1,1,5,15,1.74E-05,4.19E-05,3.81E-05,4.00E+00,1.00E+00,1.29207E-05,,,
01/01/2021 04:30,2021,1,1,5,30,1.71E-05,4.11E-05,3.81E-05,4.00E+00,1.00E+00,1.66842E-05,,,
01/01/2021 04:45,2021,1,1,5,45,1.67E-05,3.90E-05,3.81E-05,4.00E+00,1.00E+00,1.08388E-05,,,
01/01/2021 05:00,2021,1,1,6,0,1.75E-05,3.92E-05,8.16E-05,4.00E+00,1.00E+00,1.58312E-05,,,
01/01/2021 05:15,2021,1,1,6,15,1.74E-05,3.68E-05,8.16E-05,4.00E+00,1.00E+00,0,,,
01/01/2021 05:30,2021,1,1,6,30,0.000017049,3.47E-05,8.16E-05,4.00E+00,1.00E+00,0,,,
01/01/2021 05:45,2021,1,1,6,45,1.69E-05,3.02E-05,8.16E-05,4.00E+00,1.00E+00,0,,,
01/01/2021 06:00,2021,1,1,7,0,1.67E-05,2.07E-05,9.10E-05,4.00E+00,1.00E+00,0,,,
01/01/2021 06:15,2021,1,1,7,15,1.74E-05,1.91E-05,9.10E-05,4.00E+00,1.00E+00,0,,,
01/01/2021 06:30,2021,1,1,7,30,1.89E-05,2.33E-05,9.10E-05,4.00E+00,1.00E+00,0,,,
01/01/2021 06:45,2021,1,1,7,45,2.01E-05,2.53E-05,9.10E-05,4.00E+00,1.00E+00,7.27936E-06,,,
01/01/2021 07:00,2021,1,1,8,0,2.30E-05,2.41E-05,8.58E-05,4.00E+00,1.00E+00,0,,,
01/01/2021 07:15,2021,1,1,8,15,2.52E-05,2.70E-05,8.58E-05,4.00E+00,1.00E+00,6.65362E-06,,,
01/01/2021 07:30,2021,1,1,8,30,2.73E-05,0.000029797,8.58E-05,4.00E+00,1.00E+00,0,,,
01/01/2021 07:45,2021,1,1,8,45,2.80E-05,3.14E-05,8.58E-05,4.00E+00,1.00E+00,2.39866E-06,,,
01/01/2021 08:00,2021,1,1,9,0,3.03E-05,3.33E-05,7.91E-05,4.00E+00,1.00E+00,3.72857E-06,,,
01/01/2021 08:15,2021,1,1,9,15,3.21E-05,3.36E-05,7.91E-05,4.00E+00,1.00E+00,3.95215E-06,,,
01/01/2021 08:30,2021,1,1,9,30,0.000033313,3.32E-05,7.91E-05,4.00E+00,1.00E+00,0,,,
01/01/2021 08:45,2021,1,1,9,45,3.36E-05,3.22E-05,7.91E-05,4.00E+00,1.00E+00,0,,,
01/01/2021 09:00,2021,1,1,10,0,3.53E-05,3.03E-05,7.25E-05,4.00E+00,1.00E+00,0.000194162,,,
01/01/2021 09:15,2021,1,1,10,15,3.58E-05,3.04E-05,7.25E-05,4.00E+00,1.00E+00,0.000441768,,,
01/01/2021 09:30,2021,1,1,10,30,3.71E-05,0.000031426,7.25E-05,4.00E+00,1.00E+00,0.002220809,,,
01/01/2021 09:45,2021,1,1,10,45,3.72E-05,3.20E-05,7.25E-05,4.00E+00,1.00E+00,0.001751008,,,
01/01/2021 10:00,2021,1,1,11,0,0.000039106,3.16E-05,6.92E-05,4.00E+00,1.00E+00,0.00345985,,,
01/01/2021 10:15,2021,1,1,11,15,4.06E-05,3.18E-05,6.92E-05,4.00E+00,1.00E+00,0.007139619,,,
01/01/2021 10:30,2021,1,1,11,30,4.11E-05,3.33E-05,6.92E-05,4.00E+00,1.00E+00,0.011569696,,,
01/01/2021 10:45,2021,1,1,11,45,4.17E-05,0.000033532,6.92E-05,4.00E+00,1.00E+00,0.003890784,,,
01/01/2021 11:00,2021,1,1,12,0,4.20E-05,3.22E-05,6.73E-05,4.00E+00,1.00E+00,0.004488838,,,
01/01/2021 11:15,2021,1,1,12,15,4.28E-05,2.71E-05,6.73E-05,4.00E+00,1.00E+00,0.003794511,,,
01/01/2021 11:30,2021,1,1,12,30,4.33E-05,0.000027342,6.73E-05,4.00E+00,1.00E+00,0.026001824,,,
01/01/2021 11:45,2021,1,1,12,45,4.25E-05,2.78E-05,6.73E-05,4.00E+00,1.00E+00,0.021478144,,,
01/01/2021 12:00,2021,1,1,13,0,4.18E-05,2.86E-05,6.54E-05,4.00E+00,1.00E+00,0.027062309,,,
01/01/2021 12:15,2021,1,1,13,15,4.15E-05,2.91E-05,6.54E-05,4.00E+00,1.00E+00,0.007621045,,,
01/01/2021 12:30,2021,1,1,13,30,0.00004073,2.80E-05,6.54E-05,4.00E+00,1.00E+00,0.004317279,,,
01/01/2021 12:45,2021,1,1,13,45,4.05E-05,3.00E-05,6.54E-05,4.00E+00,1.00E+00,0.003160997,,,
01/01/2021 13:00,2021,1,1,14,0,4.11E-05,3.05E-05,6.40E-05,4.00E+00,1.00E+00,0.003182755,,,
01/01/2021 13:15,2021,1,1,14,15,0.000040026,3.13E-05,6.40E-05,4.00E+00,1.00E+00,0.003346522,,,
01/01/2021 13:30,2021,1,1,14,30,4.02E-05,3.75E-05,6.40E-05,4.00E+00,1.00E+00,0.003523236,,,
01/01/2021 13:45,2021,1,1,14,45,4.14E-05,3.89E-05,6.40E-05,4.00E+00,1.00E+00,0.004488064,,,
01/01/2021 14:00,2021,1,1,15,0,4.12E-05,4.42E-05,6.74E-05,4.00E+00,1.00E+00,0.004773064,,,
01/01/2021 14:15,2021,1,1,15,15,4.11E-05,4.25E-05,6.74E-05,4.00E+00,1.00E+00,0.003008159,,,
01/01/2021 14:30,2021,1,1,15,30,4.05E-05,4.01E-05,6.74E-05,4.00E+00,1.00E+00,0.001562096,,,
01/01/2021 14:45,2021,1,1,15,45,4.01E-05,4.02E-05,6.74E-05,4.00E+00,1.00E+00,0.000933771,,,
01/01/2021 15:00,2021,1,1,16,0,3.98E-05,3.58E-05,7.58E-05,4.00E+00,1.00E+00,0.00128525,,,
01/01/2021 15:15,2021,1,1,16,15,3.91E-05,3.46E-05,7.58E-05,4.00E+00,1.00E+00,0.001011249,,,
01/01/2021 15:30,2021,1,1,16,30,4.01E-05,3.24E-05,7.58E-05,4.00E+00,1.00E+00,0.000533,,,
01/01/2021 15:45,2021,1,1,16,45,4.10E-05,3.41E-05,7.58E-05,4.00E+00,1.00E+00,0.000449989,,,
